cui,term,semtype,class
C0242698,Ventricular Dysfunction  Left,patf,clinical
C0276500,Human immunodeficiency virus I infection,dsyn,clinical
C1519255,Serious Adverse Event,fndg,clinical
C1550291,Perirectal,bpoc,location
C0226875,Lower Gastrointestinal Tract,blor,location
C0456853,CT guided biopsy,diap,clinical
C0163868,CHOP regimen,topp,clinical
C0001623,Adrenal gland hypofunction,dsyn,clinical
C0206558,Simplexvirus,virs,pathogen
C0486929,Herpes simplex virus IgG,"aapp,gngm,imft",biological
C0486930,Herpes simplex virus IgM,"aapp,gngm,imft",biological
C0034194,Pyloric Stenosis,patf,clinical
C0027497,Nausea,sosy,clinical
C1817908,Cellular Immune Response,celf,biological
C1819433,interferon gamma production,orgf,biological
C0151544,Gastrointestinal carcinoma,neop,biological
C0398523,Bone marrow aspiration procedure,diap,clinical
C0008340,Choledochal Cyst,cgab,clinical
C0036114,Salmonella food poisoning,inpo,biological
C0681850,Study Subject,"grup,humn",clinical
C0600031,Congenital absence of spleen,cgab,clinical
C0948268,Hemodynamic instability,dsyn,clinical
C0340223,Infectious disorder of trachea,dsyn,clinical
C0012924,DNA  Bacterial,nnon,biological
C0056912,cytidylyl 3  5  guanosine,"bacs,nnon",biological
C0010124,Corticosterone,"horm,orch,phsu",biological
C0041956,Ureteral obstruction,anab,biological
C1321605,Compliance behavior,inbe,clinical
C0700292,Hypoxemia,fndg,clinical
C1333978,Hepatitis C Virus Related Hepatocellular Carcinoma,neop,biological
C0087130,Uncertainty,fndg,clinical
C3842676,Day 2,fndg,clinical
C0358314,Pneumococcal vaccine,"imft,phsu",biological
C0452115,Infection following immunization,patf,clinical
C4053960,Systemic Corticosteroid Therapy,topp,clinical
C0007450,Felis catus,mamm,target
C1704311,Antithrombotic Agents,phsu,biological
C0343888,Cutaneous cryptococcosis,dsyn,clinical
C0183517,Tracheal stent,medd,clinical
C0040588,Tracheoesophageal Fistula,anab,biological
C1819077,germ tube,celc,biological
C3840736,Early discharge,fndg,clinical
C0007570,Celiac Disease,dsyn,clinical
C0014772,Red Blood Cell Count measurement,lbpr,clinical
C0419707,Pneumococcal vaccination,topp,clinical
C0305065,Polyvalent pneumococcal vaccine,"imft,phsu",biological
C1579319,Pneumococcal conjugate vaccine,"imft,phsu",biological
C0149925,Small cell carcinoma of lung,neop,biological
C0231337,Senility,fndg,clinical
C3845813,Wrong patient,fndg,clinical
C0234421,Conscious,menp,clinical
C0037943,Spinal Puncture,hlca,clinical
C0549207,Bone structure of spine,bpoc,location
C0004604,Back Pain,sosy,clinical
C0015133,Etoposide,"orch,phsu",biological
C1550300,Sacrococcygeal,bpoc,location
C0018790,Cardiac Arrest,dsyn,clinical
C0020461,Hyperkalemia,fndg,clinical
C0523807,Oxygen saturation measurement,lbpr,clinical
C0229665,Blood arterial,bdsu,biological
C0038627,Succinylcholine,"orch,phsu",biological
C0357168,Intravenous nutrition,phsu,biological
C0037663,Growth Hormone,"aapp,gngm,horm,phsu",biological
C0920882,Region of neck  body structure ,blor,location
C0030499,Parasitic Diseases,dsyn,clinical
C0430389,Light Microscopy,lbpr,clinical
C0021212,Indicators,irda,biological
C2362545,Urgent Care,"hcro,mnob",clinical
C0412784,Analgesic technique,topp,clinical
C1513183,Metastatic Lesion,fndg,clinical
C0279778,untreated hairy cell leukemia,fndg,clinical
C0028259,Nodule,acab,clinical
C0009118,Coagulase,"aapp,gngm,enzy",biological
C0055082,cepharanthine,"orch,phsu",biological
C0002062,Alkaloids,"orch,phsu",biological
C0278348,Immunotherapy for cancer,topp,clinical
C0302111,Aplastic crisis,comd,biological
C0021027,Immunoglobulins,"aapp,gngm,imft",biological
C0019065,Hemoperitoneum,patf,clinical
C0040480,Musculoskeletal torsion  function,phsf,biological
C2717940,Hep G2 Cells,cell,biological
C0546483,Lung cyst,dsyn,clinical
C0016778,Tegafur,"nnon,phsu",biological
C3846671,Single Hospital,fndg,clinical
C2200934,Excision of part of right breast,topp,clinical
C0019155,Structure of hepatic vein,bpoc,location
C0062525,hepatitis B immune globulin,"aapp,gngm,imft,phsu",biological
C0205991,Administration of vaccine to produce active immunity,topp,clinical
C1883018,Severe Aplastic Anemia,dsyn,clinical
C2931027,Neutropenia  severe chronic,dsyn,clinical
C0018203,Chronic granulomatous disease,dsyn,clinical
C3665478,chemotherapy administration,hlca,clinical
C0887938,Herpesvirus 6A  Human,virs,pathogen
C0005423,Biliary tract structure,bpoc,location
C1336538,Supratentorial Embryonal Tumor  Not Otherwise Specified,neop,biological
C0020542,Pulmonary Hypertension,patf,clinical
C0162679,Leukemic Infiltration,neop,biological
C0450600,BL6,blor,location
C1658953,tumor vasculature,neop,biological
C0935987,Gleevec,"orch,phsu",biological
C0935989,imatinib,"orch,phsu",biological
C1523842,dendritic shaft,celc,biological
C0242147,Acute urinary tract infection,dsyn,clinical
C0318112,Staphylococcus saprophyticus,bact,pathogen
C0205695,Carcinoid  Goblet Cell,neop,biological
C0267380,Crohn s disease of the ileum,dsyn,clinical
C0004421,Avian Leukosis,neop,biological
C1462256,Exophiala oligosperma,fngs,pathogen
C1274377,Vibrio vulnificus infection,dsyn,clinical
C1335724,Refractory Hematologic Malignancy,neop,biological
C0475269,Tumor grade G1,fndg,clinical
C0314768,Bacterial exotoxin,"bacs,hops",biological
C3858690,adjunctive treatment,topp,clinical
C0007435,Catheterization  Central Venous,topp,clinical
C0337280,Fenestration procedure,topp,clinical
C0056371,Corticotropin Receptors,"aapp,gngm,rcpt",biological
C0219940,Receptor  Melanocortin  Type 2,"aapp,gngm,rcpt",biological
C4054695,Isolated Glucocorticoid Deficiency,fndg,clinical
C0860721,Plasma osmolality,ortf,biological
C0078077,Vasopressin Receptor,"aapp,gngm,rcpt",biological
C0007412,Catecholamines,"bacs,phsu",biological
C0745744,End Stage Liver Disease,dsyn,clinical
C1720436,Under anesthesia,fndg,clinical
C0004032,Disseminated aspergillosis,dsyn,clinical
C0444472,injection therapy,topp,clinical
C0000983,Acetic Acid,"irda,orch,phsu",biological
C0304497,Cytotoxic agent  product ,phsu,biological
C0043393,Yeasts,fngs,pathogen
C0446455,Front of neck,blor,location
C0860175,Acute proctitis,dsyn,clinical
C1047161,Solobacterium moorei,bact,pathogen
C0017343,Genes  env,"gngm,aapp",biological
C0001629,Adrenal Medulla,bpoc,location
C0006668,Calcitonin,"aapp,gngm,horm,phsu",biological
C3875007,Nodular thyroid disease,dsyn,clinical
C1293206,Vertebral column reconstruction,topp,clinical
C1710038,Second line treatment,topp,clinical
C1519275,Grade 3 Severe Adverse Event,fndg,clinical
C0319552,Pichia guilliermondii,fngs,pathogen
C0003086,Ankle,blor,location
C0020641,Hypopyon,dsyn,clinical
C0019069,Hemophilia A,dsyn,clinical
C0443121,Cryoprecipitate,phsu,biological
C4288963,Hepatitis C Virus Infection,dsyn,clinical
C0026917,Mycobacterium bovis,bact,pathogen
C0036766,Serratia marcescens,bact,pathogen
C0192715,Jejunostomy feeding,topp,clinical
C0086225,Enteral Feeding,topp,clinical
C0742007,catheter sepsis,patf,clinical
C0184567,Acute onset pain,sosy,clinical
C0222601,Left breast,bpoc,location
C0085077,Sweet Syndrome,dsyn,clinical
C0004612,Bacteria  Aerobic,bact,pathogen
C0026771,Multiple Trauma,inpo,biological
C0267941,Pancreatitis  Acute Necrotizing,dsyn,clinical
C0007130,Mucinous Adenocarcinoma,neop,biological
C0206062,Lung Diseases  Interstitial,dsyn,clinical
C0231243,Early complication,sosy,clinical
C0026896,Myasthenia Gravis,dsyn,clinical
C0040100,Thymoma,neop,biological
C0014335,Enteritis,dsyn,clinical
C0242656,Disease Progression,patf,clinical
C2755994,intracellular signal transduction pathway,celf,biological
C0004891,Fusion Proteins  bcr abl,"aapp,gngm,bacs",biological
C1332591,Bone Surface  Peripheral  Osteosarcoma,neop,biological
C2328510,Interstitium,bpoc,location
C0034079,small mass of the lung,fndg,clinical
C4316303,Infusion Therapy,topp,clinical
C0679225,multiple pathologies,dsyn,clinical
C0935681,Non Hematologic Malignancy,neop,biological
C1837098,Easy fatigability,fndg,clinical
C0348002,Ileal conduit procedure,topp,clinical
C0183512,Biliary Stent Devices,medd,clinical
C0218640,lenograstim,"aapp,gngm,phsu",biological
C0032743,Positron Emission Tomography,diap,clinical
C1140618,Upper Extremity,bpoc,location
C4476767,Diffuse alveolar hemorrhage,dsyn,clinical
C0733521,Ara C,"nnon,phsu",biological
C0209738,Lamivudine,"nnon,phsu",biological
C0017287,Gene Rearrangement,genf,biological
C0021743,Interferon Type I,"aapp,gngm,imft,phsu",biological
C0035369,Retroviridae Infections,dsyn,clinical
C0015980,Interferon beta,"aapp,gngm,imft,phsu",biological
C1415900,IFNA1 gene,"gngm,aapp",biological
C0016720,Friend Murine Leukemia Virus,virs,pathogen
C1257909,Diploid Cell,cell,biological
C0222605,Both breasts,bpoc,location
C0151241,Atrial myxoma,neop,biological
C0042570,Verticillium Hypocreales,fngs,pathogen
C0340970,Congenital neutropenia,cgab,clinical
C0272170,Shwachman syndrome,dsyn,clinical
C0007107,Malignant neoplasm of larynx,neop,biological
C0221284,Leptocyte,cell,biological
C0936223,Metastatic Prostate Carcinoma,neop,biological
C0086252,Red Blood Cell Transfusion,topp,clinical
C0031701,Phosphoric Acid Esters,orch,biological
C0203475,Pelvic echography,diap,clinical
C1261045,Sacral vertebra structure,bpoc,location
C0184930,Loop electrosurgical excision procedure,topp,clinical
C0016879,Fusobacterium Infections,dsyn,clinical
C0343525,Lemierre Syndrome,dsyn,clinical
C1514818,Regional Chemotherapy,topp,clinical
C0039097,Synovial Fluid,bdsu,biological
C0854994,Stage IV Squamous Cell Lung Carcinoma AJCC v7,neop,biological
C0333279,Massive hemorrhage,patf,clinical
C0072522,polysaccharide K,"orch,phsu",biological
C0003250,Monoclonal Antibodies,"aapp,gngm,imft",biological
C1445706,Microbial agent,phsu,biological
C0310367,Today,"antb,orch",biological
C0032143,alteplase,"aapp,gngm,enzy,phsu",biological
C0040063,Septic thrombus,dsyn,clinical
C0040038,Thromboembolism,patf,clinical
C0014851,Esophageal Cyst,anab,biological
C0014873,Esophagoscopy,diap,clinical
C0230150,Posterior mediastinum,blor,location
C0022521,Kartagener Syndrome,dsyn,clinical
C0025474,Mesentery,blor,location
C0013568,Ecthyma,dsyn,clinical
C0920028,leukemia relapse,neop,biological
C0012798,Diuretics,phsu,biological
C0023283,Leishmaniasis  Cutaneous,dsyn,clinical
C0004096,Asthma,dsyn,clinical
C1704691,FCGR3A wt Allele,"gngm,aapp",biological
C0023281,Leishmaniasis,dsyn,clinical
C0042420,Vasovagal syncope,dsyn,clinical
C0085430,Blood Component Transfusion,topp,clinical
C0034902,Pure Red Cell Aplasia,dsyn,clinical
C0879399,tositumomab,"aapp,gngm,imft,phsu",biological
C0860218,ABO incompatibility,dsyn,clinical
C0354566,Intravenous heparin,"orch,phsu",biological
C0018077,Gonococcal peritonitis,dsyn,clinical
C0520533,Acute polyarthritis,dsyn,clinical
C0041368,Tumor Necrosis Factors,"aapp,gngm,imft",biological
C0319966,Paecilomyces variotii,fngs,pathogen
C0239126,corticosteroid use,fndg,clinical
C0677930,primary tumor,neop,biological
C0007610,Cell Nucleus,celc,biological
C0520990,Host defense,ortf,biological
C0002059,Alkaline Phosphatase,"aapp,gngm,enzy",biological
C0086565,Liver Dysfunction,fndg,clinical
C0080202,T Lymphocyte Subsets,cell,biological
C0445819,Ochrobactrum anthropi,bact,pathogen
C0243001,Abdominal Abscess,dsyn,clinical
C0315259,Hafnia alvei,bact,pathogen
C0599878,disease characteristic,patf,clinical
C0206171,Community Acquired Infections,dsyn,clinical
C0246415,docetaxel,"orch,phsu",biological
C0238106,Clostridium difficile colitis,dsyn,clinical
C0017376,Genes  Viral,"gngm,aapp",biological
C4041017,Vancomycin resistant Enterococcus faecium,bact,pathogen
C1519302,Short Tandem Repeat,"bacs,nnon",biological
C0301944,Graft acceptance,phsf,biological
C0320045,Phialemonium obovatum,fngs,pathogen
C0032463,Polycythemia Vera,neop,biological
C0017263,Gene Expression Regulation,genf,biological
C0027022,Myeloproliferative disease,neop,biological
C3829471,JAK2 NP 004963 1 p V617F,comd,biological
C1335729,Refractory Neoplasm,neop,biological
C1373008,Thymidylate synthase inhibitor,phsu,biological
C1328144,OSI 7904L,"orch,phsu",biological
C1142578,Bilateral pneumonia,dsyn,clinical
C1100687,Xigris,"aapp,gngm,phsu",biological
C0010858,Cytostatic Agents,phsu,biological
C0054015,Nesiritide,"aapp,gngm,horm,phsu",biological
C0581377,Decompensated cardiac failure,dsyn,clinical
C0027477,Natriuresis,ortf,biological
C1188853,Roseomonas,bact,pathogen
C1223037,Roseomonas gilardii,bact,pathogen
C3658216,Clinical Laboratory Services,hlca,clinical
C0003376,Antimetabolites,phsu,biological
C1518932,Pediatric Oncology Group,hcro,clinical
C0596638,Gut associated lymphoid tissue,tisu,biological
C0717668,Daunorubicin Liposomal,"antb,orch",biological
C0008889,Cladosporium werneckii,fngs,pathogen
C1276873,Dividing cell structure,celc,biological
C0228126,Leptomeninges,bpoc,location
C0332448,Infiltration,patf,clinical
C0085379,Muromonab CD3,"aapp,gngm,imft,phsu",biological
C0024314,Lymphoproliferative Disorders,neop,biological
C0554114,Epstein Barr virus hepatitis,dsyn,clinical
C4289990,Aerobic Gram Negative Coccobacillus,bact,pathogen
C1279296,Chronic leukemia  category ,neop,biological
C0205698,Undifferentiated carcinoma,neop,biological
C1299258,Primary malignant neoplasm of breast,neop,biological
C1880405,Doxorubicin Docetaxel Regimen,topp,clinical
C0596237,cancer complication,patf,clinical
C0860864,Decreased albumin,fndg,clinical
C0018821,Cardiac Surgery procedures,topp,clinical
C0021053,Immune System Diseases,dsyn,clinical
C0179747,Dialysis catheter,medd,clinical
C0004271,Attitude,menp,clinical
C0010590,Cycloserine,"aapp,gngm,antb",antibiotic
C1522449,Therapeutic radiology procedure,topp,clinical
C2700280,World,"popg,humn",clinical
C0679170,passivity,inbe,clinical
C1096116,acquired hemophilia,dsyn,clinical
C0015506,Factor VIII,"aapp,gngm,bacs,phsu",biological
C0085484,Enterobacter cloacae,bact,pathogen
C0239984,Increased IgA level,fndg,clinical
C0005790,Blood coagulation tests,lbpr,clinical
C0027726,Nephrotic Syndrome,dsyn,clinical
C1011859,Dysgonomonas capnocytophagoides,bact,pathogen
C0008168,Chloramphenicol,"antb,orch",biological
C0267834,Liver cyst,dsyn,clinical
C0969664,NASBA,mbrt,biological
C0002769,Analgesia  Epidural,topp,clinical
C0084185,ProMACE MOPP protocol,topp,clinical
C0678775,delayed toxicity,biof,biological
C0920467,disorder control  procedure ,topp,clinical
C4520796,Calcitonin Precursor  human,"aapp,gngm,horm",biological
C1568891,HGS protein  human,"aapp,gngm,bacs",biological
C0871311,screening tests,hlca,clinical
C0042721,Viral hepatitis,dsyn,clinical
C0339897,Transjugular intrahepatic portosystemic shunt procedure,topp,clinical
C0276108,Chlamydia psittaci infection,dsyn,clinical
C0017575,Necrotizing Ulcerative Gingivitis,dsyn,clinical
C1550661,Specimen Type   Stool   Fecal,bdsu,biological
C0030186,Paget Disease Extramammary,neop,biological
C1282536,Contrast swallow,diap,clinical
C0014383,Enterovirus,virs,pathogen
C0275522,Asymptomatic Infections,dsyn,clinical
C4281564,Echovirus 1,imft,biological
C0042760,Virion,celc,biological
C0282682,Antibodies  Blocking,"aapp,gngm,imft,irda",biological
C1515657,In Vivo Model,resa,biological
C0277524,Infectious colitis,dsyn,clinical
C0029119,Opportunistic mycosis,dsyn,clinical
C0040259,Tinea Pedis,dsyn,clinical
C0040261,Onychomycosis,dsyn,clinical
C0948382,Deep mycosis,dsyn,clinical
C0011630,Dermatomycoses,dsyn,clinical
C0877265,Trichophyton infection,dsyn,clinical
C0076110,terbinafine,"orch,phsu",biological
C0016860,Furosemide,"orch,phsu",biological
C2609414,Acute kidney injury,inpo,biological
C0036037,Bone structure of sacrum,bpoc,location
C0860204,Cholestatic liver disease,dsyn,clinical
C1096272,Vanishing bile duct syndrome,dsyn,clinical
C0193388,Biopsy of liver  procedure ,diap,clinical
C0334660,Angioendotheliomatosis,neop,biological
C0948762,Absolute neutrophil count,lbpr,clinical
C0200633,Neutrophil count  procedure ,lbpr,clinical
C0184959,Instillation  procedure ,hlca,clinical
C0221023,Cyclic neutropenia,dsyn,clinical
C0752312,Mitogen Activated Protein Kinases,"aapp,gngm,enzy",biological
C0031678,Phosphoric Monoester Hydrolases,"aapp,gngm,enzy",biological
C0287531,DUSP1 protein  human,"aapp,gngm,enzy",biological
C0016617,Foundations,orgt,clinical
C3849574,EPHB2 protein  human,"aapp,gngm,enzy",biological
C0060926,gabapentin,"orch,phsu",biological
C0456909,Blindness,fndg,clinical
C0042071,Urokinase,"aapp,gngm,enzy,phsu",biological
C0210630,Filgrastim,"aapp,gngm,imft,phsu",biological
C1948049,Cell  compartment ,spco,location
C0009933,Controlled Clinical Trials as Topic,resa,biological
C0201253,Colony count on plate,lbpr,clinical
C0887846,Aleukemic Leukemia Cutis,neop,biological
C0948976,Leukemic infiltration of skin,neop,biological
C0144567,taurolidine,"orch,phsu",biological
C0149614,adnexal mass,anab,biological
C0240611,Mass of ovary,fndg,clinical
C0023267,Fibroid Tumor,neop,biological
C0409980,Primary antiphospholipid syndrome,dsyn,clinical
C0195495,Bilateral salpingectomy with oophorectomy,topp,clinical
C0521316,Gallium scan,diap,clinical
C0032300,Lobar Pneumonia,dsyn,clinical
C1328504,Hormone refractory prostate cancer,neop,biological
C1320226,Incubation period,fndg,clinical
C0039736,Thalidomide,"hops,orch,phsu",biological
C2242708,Hypertransaminasaemia,fndg,clinical
C1178562,Campath 1H,"imft,orch,phsu",biological
C0669372,NOS2A protein  human,"aapp,gngm,enzy",biological
C0013879,Elements,elii,biological
C0038734,Sulfhydryl Compounds,orch,biological
C0057931,diethyl maleate,orch,biological
C0215825,adrenomedullin,"aapp,gngm,phsu",biological
C0597170,paracrine,phsf,biological
C1522642,Clone,tisu,biological
C0318759,Dengue virus  type 2,virs,pathogen
C0600600,3  Untranslated Regions,nusq,biological
C1705982,KRAS wt Allele,"gngm,aapp",biological
C0858318,Plasmodium falciparum infection,dsyn,clinical
C1513784,Myeloablative Chemotherapy,topp,clinical
C0001930,Alcaligenes,bact,pathogen
C0281374,pressor support,topp,clinical
C0333565,Fibrin deposition,patf,clinical
C0577305,Multiple lesions,fndg,clinical
C0871261,Response process,orga,biological
C0206373,Photopheresis,topp,clinical
C0079773,Lymphoma  T Cell  Cutaneous,neop,biological
C0030182,Paecilomyces,fngs,pathogen
C0039288,Tampons,medd,clinical
C0035701,Ribosomal RNA,"bacs,nnon",biological
C0683454,internal external locus of control scale,"diap,inpr",clinical
C0008862,Citrobacter,bact,pathogen
C1000473,Acidovorax,bact,pathogen
C1014144,Ralstonia,bact,pathogen
C0315137,Clostridium symbiosum,bact,pathogen
C0035956,Rupture  Spontaneous,patf,clinical
C0035412,Rhabdomyosarcoma,neop,biological
C0085606,Urgency of micturition,sosy,clinical
C0543478,Residual Tumor,neop,biological
C4534426,Intermittent catheterization,topp,clinical
C0206624,Hepatoblastoma,neop,biological
C0445842,Stenotrophomonas,bact,pathogen
C0023290,Leishmaniasis  Visceral,dsyn,clinical
C0522647,Implantable venous catheter,medd,clinical
C0040188,Tic disorder,mobd,clinical
C1419799,SAA1 gene,"gngm,aapp",biological
C0002723,Serum amyloid A protein,"aapp,gngm,imft",biological
C0008049,Chickenpox,dsyn,clinical
C0406537,Morbilliform Drug Reaction,dsyn,clinical
C0848397,Throat culture,lbpr,clinical
C0282460,Phase 2 Clinical Trials,resa,biological
C0015965,Fetus,emst,biological
C0872054,latent infection,dsyn,clinical
C0003158,Anthelmintics,phsu,biological
C0677898,invasive cancer,neop,biological
C0015689,Omega 3 Fatty Acids,"bacs,orch,phsu",biological
C0232786,Pancreatic function,ortf,biological
C0003695,Arachidonic Acid,orch,biological
C0017296,gene therapy,topp,clinical
C4314157,Autoantibody production,fndg,clinical
C1633987,Flock,"grup,humn",clinical
C0206035,Controlled Clinical Trials  Randomized,resa,biological
C0086045,Mental concentration,menp,clinical
C0018674,Craniocerebral Trauma,inpo,biological
C0018802,Congestive heart failure,dsyn,clinical
C0034072,Cor pulmonale,dsyn,clinical
C0264714,Acute heart failure,dsyn,clinical
C0273112,Myocardial Contusions,inpo,biological
C1955133,post bone marrow transplant,fndg,clinical
C0086444,Dexrazoxane,"orch,phsu",biological
C1511497,Continuous Intravenous Infusion,topp,clinical
C1513041,Measurable Disease,dsyn,clinical
C0876994,Cardiotoxicity,inpo,biological
C0009373,Colonic Diseases,dsyn,clinical
C0180694,Bovie,medd,clinical
C0562638,Saprophyte,orgm,target
C1011982,Macacine gammaherpesvirus 4,virs,pathogen
C2936739,Hyper Immunoglobulin E Syndrome  Autosomal Dominant,dsyn,clinical
C0262975,Chronic dermatitis,dsyn,clinical
C1844383,Recurrent bacterial infection,fndg,clinical
C3809722,Markedly elevated IgE levels,fndg,clinical
C3887645,Job Syndrome,dsyn,clinical
C0151825,Bone pain,sosy,clinical
C1096653,Metastatic Carcinomas,neop,biological
C2349952,Oropharyngeal Carcinoma,neop,biological
C0010075,Coronary Vessels,bpoc,location
C0410256,muscle injury,inpo,biological
C1850039,Pericardial Effusion  Chronic,dsyn,clinical
C0015300,Exophthalmos,dsyn,clinical
C0030332,Panophthalmitis,dsyn,clinical
C0240607,orbital pain,fndg,clinical
C0311392,Physical findings,fndg,clinical
C0526513,dalfopristin   quinupristin,phsu,biological
C1707479,Concomitant Therapy,topp,clinical
C0003635,Apraxias,mobd,clinical
C3714584,Transformation  function,phsf,biological
C1710602,VIPR1 wt Allele,"gngm,aapp",biological
C0430335,PCR for genomic fingerprinting,lbpr,clinical
C0277942,Butterfly rash,fndg,clinical
C0016129,Fingers,bpoc,location
C0302295,Eruptions,patf,clinical
C0151799,Skin necrosis,patf,clinical
C2924432,Inpatient status,fndg,clinical
C0033770,Prune Belly Syndrome,dsyn,clinical
C0009630,Concanavalin A,"aapp,gngm,bacs",biological
C0024264,Lymphocyte,cell,biological
C0848543,exposure  to  disease,fndg,clinical
C0343431,Disseminated mycobacteriosis,dsyn,clinical
C3539666,Line Probe Assay,lbpr,clinical
C0152060,Transection  procedure ,topp,clinical
C0003872,Arthritis  Psoriatic,dsyn,clinical
C3279150,Functional hyposplenism,fndg,clinical
C0025303,Meningococcal Infections,dsyn,clinical
C0027362,Human Age Group,"aggp,humn",clinical
C1301094,Human herpesvirus 8 antibody,"aapp,gngm,imft",biological
C0020789,Idarubicin,"orch,phsu",biological
C3898878,Hormone Resistant Breast Cancer,fndg,clinical
C0015576,Family,"famg,humn",clinical
C0078257,vinorelbine,"orch,phsu",biological
C4042908,Seroconversion,npop,biological
C2238079,Blood Smear,lbpr,clinical
C0798503,Challenge Type Point in time  Patient Nominal,clna,clinical
C0003205,Anti Infective Agents  Local,phsu,biological
C0333139,Gas retention,fndg,clinical
C1882536,Radiation Field,blor,location
C0205042,Coronary artery,bpoc,location
C3258293,Valvular disease,dsyn,clinical
C0596130,attribution,menp,clinical
C0042629,Vibrio cholerae,bact,pathogen
C0302592,Cervix carcinoma,neop,biological
C0011220,Hepatitis Delta Virus,virs,pathogen
C0267797,Acute hepatitis,dsyn,clinical
C0021747,Interferons,"aapp,gngm,imft,phsu",biological
C0317732,Kytococcus sedentarius,bact,pathogen
C0162481,Doppler Ultrasound  procedure ,diap,clinical
C1266044,Collecting Duct Carcinoma of the Kidney,neop,biological
C0278714,stage IV Wilms  tumor,neop,biological
C0854866,Recurrent Non Hodgkin Lymphoma,neop,biological
C0031928,Pilot Projects,resa,biological
C1368771,Burkitt like lymphoma,neop,biological
C2347610,Chemosensitivity,fndg,clinical
C0008051,Chickens,bird,biological
C0805206,Avian leukosis virus Ag,imft,biological
C0699129,Coumadin,"orch,phsu",biological
C1717820,CATHETER EXTERNAL,medd,clinical
C1630409,6 3,fndg,clinical
C0320090,Exserohilum,fngs,pathogen
C2750515,Subcutaneous bleeding,fndg,clinical
C0004036,Aspergillus flavus,fngs,pathogen
C0276652,Cutaneous aspergillosis,dsyn,clinical
C0436503,Standard chest X ray abnormal,fndg,clinical
C0020097,HTLV I Infections,dsyn,clinical
C0152486,salmonella sepsis,dsyn,clinical
C0028365,Norfloxacin,"antb,orch",biological
C0356799,Estramustine phosphate,"orch,phsu",biological
C1516224,Cancer Research Network,hcro,clinical
C0013162,Drug Combinations,phsu,biological
C0034050,Pulmonary Alveolar Proteinosis,dsyn,clinical
C0184922,Incisional biopsy   action,diap,clinical
C0520991,Abnormal host defense,patf,clinical
C0016045,fibroma,neop,biological
C0332572,Abnormal color,fndg,clinical
C1299916,Endotoxicosis,dsyn,clinical
C0002915,General Anesthesia,topp,clinical
C0392386,Decreased platelet count,fndg,clinical
C0032113,Plasma Exchange,topp,clinical
C0312594,T cell antibody,"aapp,gngm,imft",biological
C0043162,Whole Body Irradiation,topp,clinical
C3826993,Involved Field Radiation Therapy,topp,clinical
C1517033,External Beam Radiation Therapy,topp,clinical
C0857353,Hypotensive,patf,clinical
C0262950,Skeletal bone,bpoc,location
C0375268,Acute endocarditis,dsyn,clinical
C0751534,Syncopal Episode,sosy,clinical
C0430462,Transthoracic echocardiography,diap,clinical
C1332850,Cardiac Lymphoma,neop,biological
C3670832,Mass of heart,fndg,clinical
C0501384,Motor nerve,bpoc,location
C0023052,Laryngeal Edema,patf,clinical
C2962221,TAC,"orch,phsu",biological
C1511300,Breast Cancer Therapeutic Procedure,topp,clinical
C0014038,Encephalitis,dsyn,clinical
C0013018,Donor person,"popg,humn",clinical
C0056633,cyclophosphamide prednisone vincristine protocol,topp,clinical
C4076002,Cyclophosphamide therapy,topp,clinical
C1317499,Limulus amebocyte lysate test,lbpr,clinical
C1882777,Rat Mesenteric Lymph Node,bpoc,location
C0004239,Atrial Flutter,patf,clinical
C0037949,Vertebral column,bpoc,location
C0023484,Leukemia  Plasma Cell,neop,biological
C0348754,Toxic liver disease,dsyn,clinical
C4505456,HIV Coinfection,dsyn,clinical
C0032326,Pneumothorax,dsyn,clinical
C0227387,Left colic flexure,blor,location
C0020838,Secretory Immunoglobulin A,"aapp,gngm,imft",biological
C0276535,AIDS with Kaposi s sarcoma,neop,biological
C0442757,3 4,fndg,clinical
C0005308,Betamethasone,"horm,orch,phsu",biological
C0017262,Gene Expression,genf,biological
C0458580,Tracheobronchial structure,bpoc,location
C0006132,Moraxella  Branhamella  catarrhalis,bact,pathogen
C0018483,Haemophilus influenzae,bact,pathogen
C2348825,Tumor Purging,topp,clinical
C0746319,lymph node positive,fndg,clinical
C4520898,Stage IV Breast Cancer AJCC v6 and v7,neop,biological
C0151740,Intracranial Hypertension,dsyn,clinical
C0029882,Otitis Media,dsyn,clinical
C0037199,Sinusitis,dsyn,clinical
C0238074,Chronic pulmonary heart disease,dsyn,clinical
C0392317,Breast infection,dsyn,clinical
C0030899,Pentoxifylline,"orch,phsu",biological
C1522668,Recombinant Tumor Necrosis Factor Family Protein,"aapp,gngm,imft",biological
C0396670,Isolated limb perfusion,topp,clinical
C0015020,Amifostine,"orch,phsu",biological
C1880651,Fludarabine Cyclophosphamide Regimen,topp,clinical
C0872169,fdg pet,diap,clinical
C0085413,Polycystic Kidney  Autosomal Dominant,dsyn,clinical
C0341117,Esophageal erosions,dsyn,clinical
C0085752,Adriamycin,"orch,phsu",biological
C1366904,Nuclear Inclusion,celc,biological
C3898148,Neobladder,anst,clinical
C0262655,Recurrent urinary tract infection,dsyn,clinical
C0086287,Females,orga,biological
C0020295,Hydronephrosis,dsyn,clinical
C0935942,Caspofungin acetate,"aapp,gngm,phsu",biological
C1513528,Mouse Cell Line,cell,biological
C0493611,ASSAY  INTERLEUKIN,medd,clinical
